request_id   tau_in  tau_out
         1        4        4
         2        4        4
         3        4        4
         4        7        7
         5        6        6
         6        6        6
         7        4        4
         8        4        4
         9        -        -
        10        5        5
        11        3        3
        12        6        6
        13        3        3
        14        4        4
        15        4        4
        16        4        4
        17        5        5
        18        6        6
        19        3        3
        20        6        6
        21        5        5
        22        -        -
        23        3        3
        24        4        4
        25        5        5
        26        6        6
        27        4        4
        28        5        5
        29        3        3
        30        6        6
        31        7        7
        32        7        7
        33        5        5
        34        5        5
        35        3        3
        36        6        6
        37        6        6
        38        -        -
        39        6        6
        40        7        7
        41        6        6
        42        6        6
        43        8        8
        44        4        4
        45        6        6
        46        5        5
        47        4        4
        48        5        5
        49        5        5
        50        4        4
        51        4        4
        52        -        -
        53        3        3
        54        4        4
        55        4        4
        56        5        5
        57        3        3
        58        3        3
        59        3        3
        60        4        4
        61        6        6
        62        6        6
        63        6        6
        64        6        6
        65        4        4
        66        -        -
        67        3        3
        68        3        3
        69        -        -
        70        8        8
        71        6        6
        72        5        5
        73        5        5
        74        -        -
        75        6        6
        76        4        4
        77        -        -
        78        -        -
        79        6        6
        80        -        -
        81        3        3
        82        3        3
        83        3        3
        84        6        6
        85        6        6
        86        6        6
        87        5        5
        88        4        4
        89        6        6
        90        6        6
        91        6        6
        92        3        3
        93        6        6
        94        7        7
        95        6        6
        96        3        3
        97        6        6
        98        3        3
        99        -        -
       100        5        5
